1435758721,2015070100,51
1435845121,2015070100,51
1435931521,2015070200,26
1436017921,2015070300,37
1436104321,2015070400,21
1436190721,2015070500,63
1436277121,2015070600,41
1436363521,2015070700,53
1436449921,2015070800,27
1436536321,2015070900,28
1436622721,2015071000,25
1436709121,2015071100,29
1436795521,2015071200,33
1436881921,2015071300,35
1436968321,2015071400,48
1437054721,2015071500,53
1437141121,2015071600,34
1437227521,2015071700,29
1437313921,2015071800,27
1437400321,2015071900,35
1437486721,2015072000,49
1437573121,2015072100,38
1437659521,2015072200,40
1437745921,2015072300,41
1437832321,2015072400,32
1437918721,2015072500,22
1438005121,2015072600,63
1438091521,2015072700,57
1438177921,2015072800,52
1438264321,2015072900,27
1438350721,2015073000,50
1438437121,2015073100,49
1438523521,2015080100,32
1438609921,2015080200,33
1438696321,2015080300,42
1438782721,2015080400,54
1438869121,2015080500,44
1438955521,2015080600,47
1439041921,2015080700,58
1439128321,2015080800,54
1439214721,2015080900,31
1439301121,2015081000,29
1439387521,2015081100,29
1439473921,2015081200,49
1439560321,2015081300,34
1439646721,2015081400,32
1439733121,2015081500,36
1439819521,2015081600,42
1439905921,2015081700,34
1439992321,2015081800,49
1440078721,2015081900,41
1440165121,2015082000,47
1440251521,2015082100,44
1440337921,2015082200,30
1440424321,2015082300,57
1440510721,2015082400,43
1440597121,2015082500,52
1440683521,2015082600,43
1440769921,2015082700,80
1440856321,2015082800,39
1440942721,2015082900,58
1441029121,2015083000,38
1441115521,2015083100,55
1441201921,2015090100,67
1441288321,2015090200,45
1441374721,2015090300,51
1441461121,2015090400,55
1441547521,2015090500,79
1441633921,2015090600,65
1441720321,2015090700,52
1441806721,2015090800,47
1441893121,2015090900,60
1441979521,2015091000,49
1442065921,2015091100,49
1442152321,2015091200,30
1442238721,2015091300,49
1442325121,2015091400,96
1442411521,2015091500,73
1442497921,2015091600,84
1442584321,2015091700,70
1442670721,2015091800,64
1442757121,2015091900,37
1442843521,2015092000,49
1442929921,2015092100,63
1443016321,2015092200,74
1443102721,2015092300,44
1443189121,2015092400,42
1443275521,2015092500,55
1443361921,2015092600,41
1443448321,2015092700,41
1443534721,2015092800,60
1443621121,2015092900,123
1443707521,2015093000,78
1443793921,2015100100,114
1443880321,2015100200,88
1443966721,2015100300,60
1444053121,2015100400,130
1444139521,2015100500,333
1444225921,2015100600,98
1444312321,2015100700,58
1444398721,2015100800,53
1444485121,2015100900,71
1444571521,2015101000,109
1444657921,2015101100,57
1444744321,2015101200,70
1444830721,2015101300,65
1444917121,2015101400,53
1445003521,2015101500,56
1445089921,2015101600,34
1445176321,2015101700,44
1445262721,2015101800,42
1445349121,2015101900,62
1445435521,2015102000,55
1445521921,2015102100,56
1445608321,2015102200,73
1445694721,2015102300,56
1445781121,2015102400,55
1445867521,2015102500,51
1445953921,2015102600,104
1446040321,2015102700,73
1446126721,2015102800,51
1446213121,2015102900,72
1446299521,2015103000,54
1446385921,2015103100,52
1446472321,2015110100,62
1446558721,2015110200,65
1446645121,2015110300,59
1446731521,2015110400,80
1446817921,2015110500,60
1446904321,2015110600,53
1446990721,2015110700,46
1447077121,2015110800,69
1447163521,2015110900,93
1447249921,2015111000,69
1447336321,2015111100,67
1447422721,2015111200,63
1447509121,2015111300,51
1447595521,2015111400,107
1447681921,2015111500,197
1447768321,2015111600,76
1447854721,2015111700,75
1447941121,2015111800,46
1448027521,2015111900,55
1448113921,2015112000,56
1448200321,2015112100,51
1448286721,2015112200,56
1448373121,2015112300,257
1448459521,2015112400,58
1448545921,2015112500,54
1448632321,2015112600,54
1448718721,2015112700,70
1448805121,2015112800,61
1448891521,2015112900,48
1448977921,2015113000,51
1449064321,2015120100,69
1449150721,2015120200,65
1449237121,2015120300,62
1449323521,2015120400,48
1449409921,2015120500,42
1449496321,2015120600,50
1449582721,2015120700,40
1449669121,2015120800,73
1449755521,2015120900,83
1449841921,2015121000,72
1449928321,2015121100,59
1450014721,2015121200,55
1450101121,2015121300,63
1450187521,2015121400,92
1450273921,2015121500,61
1450360321,2015121600,66
1450446721,2015121700,68
1450533121,2015121800,61
1450619521,2015121900,46
1450705921,2015122000,50
1450792321,2015122100,60
1450878721,2015122200,56
1450965121,2015122300,43
1451051521,2015122400,69
